Gene	Gene name	Cancer	High	Medium	Low	Not detected	prognostic - favorable	unprognostic - favorable	prognostic - unfavorable	unprognostic - unfavorable
ENSG00000013392	RWDD2A	liver cancer	3.0	5.0	3.0	0.0				0.1013
ENSG00000013441	CLK1	liver cancer	0.0	8.0	3.0	1.0				0.1523
ENSG00000013503	POLR3B	liver cancer	3.0	7.0	1.0	1.0				0.04209
ENSG00000013523	ANGEL1	liver cancer	0.0	0.0	0.0	12.0				0.07331
ENSG00000013561	RNF14	liver cancer	0.0	10.0	2.0	0.0				0.2353
ENSG00000013563	DNASE1L1	liver cancer	0.0	0.0	1.0	11.0				0.03823
ENSG00000013573	DDX11	liver cancer	0.0	2.0	3.0	6.0			0.0002402	
ENSG00000013583	HEBP1	liver cancer	1.0	6.0	3.0	2.0		0.2698		
ENSG00000013588	GPRC5A	liver cancer	1.0	0.0	1.0	6.0				0.02383
ENSG00000013619	MAMLD1	liver cancer	0.0	0.0	1.0	11.0		0.2311		
ENSG00000013725	CD6	liver cancer	0.0	0.0	0.0	12.0		0.008455		
ENSG00000013810	TACC3	liver cancer	1.0	1.0	6.0	3.0			0.0003296	
ENSG00000014123	UFL1	liver cancer	1.0	5.0	2.0	4.0				0.09994
ENSG00000014138	POLA2	liver cancer	0.0	2.0	2.0	7.0			2.108e-06	
ENSG00000014164	ZC3H3	liver cancer	0.0	4.0	6.0	2.0			0.0004063	
ENSG00000014216	CAPN1	liver cancer	5.0	5.0	0.0	0.0				0.01914
ENSG00000014257	ACP3	liver cancer	0.0	0.0	0.0	12.0				0.2459
ENSG00000014641	MDH1	liver cancer	0.0	4.0	4.0	4.0				0.05809
ENSG00000014824	SLC30A9	liver cancer	6.0	5.0	0.0	0.0				0.03195
ENSG00000014914	MTMR11	liver cancer	1.0	3.0	1.0	7.0				0.01368
ENSG00000014919	COX15	liver cancer	4.0	7.0	1.0	0.0				0.05358
ENSG00000015133	CCDC88C	liver cancer	8.0	3.0	0.0	0.0				0.03068
ENSG00000015153	YAF2	liver cancer	1.0	6.0	3.0	2.0				0.007099
ENSG00000015285	WAS	liver cancer	0.0	3.0	3.0	5.0		0.005121		
ENSG00000015413	DPEP1	liver cancer	0.0	0.0	0.0	12.0				0.1038
ENSG00000015475	BID	liver cancer	1.0	7.0	3.0	1.0				0.0384
ENSG00000015479	MATR3	liver cancer	6.0	4.0	1.0	1.0				0.1033
ENSG00000015520	NPC1L1	liver cancer	0.0	4.0	2.0	6.0				0.094
ENSG00000015676	NUDCD3	liver cancer	0.0	2.0	0.0	9.0				0.0473
ENSG00000016391	CHDH	liver cancer	0.0	5.0	3.0	4.0		0.1097		
ENSG00000016402	IL20RA	liver cancer	7.0	3.0	2.0	0.0				0.00987
ENSG00000016864	GLT8D1	liver cancer	1.0	4.0	6.0	0.0				0.2032
ENSG00000017260	ATP2C1	liver cancer	10.0	2.0	0.0	0.0			5.06e-06	
ENSG00000017427	IGF1	liver cancer	0.0	1.0	1.0	9.0		0.001592		
